id,topic,week,image,answers,q_type
ON_W6_FILL_01,organic,6,images/organic/w6/fill_01.png,"1,2",fill
ON_W6_FILL_02,organic,6,images/organic/w6/fill_02.png,"1,4",fill
ON_W6_FILL_03,organic,6,images/organic/w6/fill_03.png,"2,3",fill
ON_W6_FILL_04,organic,6,images/organic/w6/fill_04.png,"2,3",fill
ON_W6_FILL_05,organic,6,images/organic/w6/fill_05.png,hydroxy,fill
ON_W6_FILL_06,organic,6,images/organic/w6/fill_06.png,yne,fill
ON_W6_IUPAC_01,organic,6,images/organic/w6/iupac_01.png,tert-butanol||2-methyl-2-propanol||2-methyl-propan-2-ol,iupac
ON_W6_IUPAC_02,organic,6,images/organic/w6/iupac_02.png,3-hydroxycyclohexanone,iupac
ON_W6_IUPAC_03,organic,6,images/organic/w6/iupac_03.png,3-methylbut-1-ene||3-methyl-1-butene,iupac
ON_W6_IUPAC_04,organic,6,images/organic/w6/iupac_04.png,3-methylpentane,iupac
ON_W7_FILL_01,organic,7,images/organic/w7/fill_01.png,,fill
ON_W7_FILL_02,organic,7,images/organic/w7/fill_02.png,,fill
ON_W7_FILL_03,organic,7,images/organic/w7/fill_03.png,,fill
ON_W7_FILL_04,organic,7,images/organic/w7/fill_04.png,,fill
ON_W7_FILL_05,organic,7,images/organic/w7/fill_05.png,,fill
ON_W7_FILL_06,organic,7,images/organic/w7/fill_06.png,,fill
ON_W7_IUPAC_01,organic,7,images/organic/w7/iupac_01.png,,iupac
ON_W7_IUPAC_02,organic,7,images/organic/w7/iupac_02.png,,iupac
ON_W7_IUPAC_03,organic,7,images/organic/w7/iupac_03.png,,iupac
ON_W7_IUPAC_04,organic,7,images/organic/w7/iupac_04.png,,iupac
ON_W8_FILL_01,organic,8,images/organic/w8/fill_01.png,,fill
ON_W8_FILL_02,organic,8,images/organic/w8/fill_02.png,,fill
ON_W8_FILL_03,organic,8,images/organic/w8/fill_03.png,,fill
ON_W8_FILL_04,organic,8,images/organic/w8/fill_04.png,,fill
ON_W8_FILL_05,organic,8,images/organic/w8/fill_05.png,,fill
ON_W8_FILL_06,organic,8,images/organic/w8/fill_06.png,,fill
ON_W8_IUPAC_01,organic,8,images/organic/w8/iupac_01.png,,iupac
ON_W8_IUPAC_02,organic,8,images/organic/w8/iupac_02.png,,iupac
ON_W8_IUPAC_03,organic,8,images/organic/w8/iupac_03.png,,iupac
ON_W8_IUPAC_04,organic,8,images/organic/w8/iupac_04.png,,iupac
ON_W9_FILL_01,organic,9,images/organic/w9/fill_01.png,,fill
ON_W9_FILL_02,organic,9,images/organic/w9/fill_02.png,,fill
ON_W9_FILL_03,organic,9,images/organic/w9/fill_03.png,,fill
ON_W9_FILL_04,organic,9,images/organic/w9/fill_04.png,,fill
ON_W9_FILL_05,organic,9,images/organic/w9/fill_05.png,,fill
ON_W9_FILL_06,organic,9,images/organic/w9/fill_06.png,,fill
ON_W9_IUPAC_01,organic,9,images/organic/w9/iupac_01.png,,iupac
ON_W9_IUPAC_02,organic,9,images/organic/w9/iupac_02.png,,iupac
ON_W9_IUPAC_03,organic,9,images/organic/w9/iupac_03.png,,iupac
ON_W9_IUPAC_04,organic,9,images/organic/w9/iupac_04.png,,iupac
ON_W10_FILL_01,organic,10,images/organic/w10/fill_01.png,,fill
ON_W10_FILL_02,organic,10,images/organic/w10/fill_02.png,,fill
ON_W10_FILL_03,organic,10,images/organic/w10/fill_03.png,,fill
ON_W10_FILL_04,organic,10,images/organic/w10/fill_04.png,,fill
ON_W10_FILL_05,organic,10,images/organic/w10/fill_05.png,,fill
ON_W10_FILL_06,organic,10,images/organic/w10/fill_06.png,,fill
ON_W10_IUPAC_01,organic,10,images/organic/w10/iupac_01.png,,iupac
ON_W10_IUPAC_02,organic,10,images/organic/w10/iupac_02.png,,iupac
ON_W10_IUPAC_03,organic,10,images/organic/w10/iupac_03.png,,iupac
ON_W10_IUPAC_04,organic,10,images/organic/w10/iupac_04.png,,iupac
ON_W11_FILL_01,organic,11,images/organic/w11/fill_01.png,,fill
ON_W11_FILL_02,organic,11,images/organic/w11/fill_02.png,,fill
ON_W11_FILL_03,organic,11,images/organic/w11/fill_03.png,,fill
ON_W11_FILL_04,organic,11,images/organic/w11/fill_04.png,,fill
ON_W11_FILL_05,organic,11,images/organic/w11/fill_05.png,,fill
ON_W11_FILL_06,organic,11,images/organic/w11/fill_06.png,,fill
ON_W11_IUPAC_01,organic,11,images/organic/w11/iupac_01.png,,iupac
ON_W11_IUPAC_02,organic,11,images/organic/w11/iupac_02.png,,iupac
ON_W11_IUPAC_03,organic,11,images/organic/w11/iupac_03.png,,iupac
ON_W11_IUPAC_04,organic,11,images/organic/w11/iupac_04.png,,iupac
IN_W12_FILL_01,inorganic,12,images/inorganic/w12/fill_01.png,,fill
IN_W12_FILL_02,inorganic,12,images/inorganic/w12/fill_02.png,,fill
IN_W12_FILL_03,inorganic,12,images/inorganic/w12/fill_03.png,,fill
IN_W12_FILL_04,inorganic,12,images/inorganic/w12/fill_04.png,,fill
IN_W12_FILL_05,inorganic,12,images/inorganic/w12/fill_05.png,,fill
IN_W12_FILL_06,inorganic,12,images/inorganic/w12/fill_06.png,,fill
IN_W12_FILL_07,inorganic,12,images/inorganic/w12/fill_07.png,,fill
IN_W12_FILL_08,inorganic,12,images/inorganic/w12/fill_08.png,,fill
IN_W12_FILL_09,inorganic,12,images/inorganic/w12/fill_09.png,,fill
IN_W12_FILL_10,inorganic,12,images/inorganic/w12/fill_10.png,,fill
IN_W12_FILL_11,inorganic,12,images/inorganic/w12/fill_11.png,,fill
IN_W12_FILL_12,inorganic,12,images/inorganic/w12/fill_12.png,,fill
IN_W12_FILL_13,inorganic,12,images/inorganic/w12/fill_13.png,,fill
IN_W12_FILL_14,inorganic,12,images/inorganic/w12/fill_14.png,,fill
IN_W12_FILL_15,inorganic,12,images/inorganic/w12/fill_15.png,,fill
IN_W12_FILL_16,inorganic,12,images/inorganic/w12/fill_16.png,,fill
IN_W12_FILL_17,inorganic,12,images/inorganic/w12/fill_17.png,,fill
IN_W12_FILL_18,inorganic,12,images/inorganic/w12/fill_18.png,,fill
IN_W12_FILL_19,inorganic,12,images/inorganic/w12/fill_19.png,,fill
IN_W12_FILL_20,inorganic,12,images/inorganic/w12/fill_20.png,,fill
IN_W12_FILL_21,inorganic,12,images/inorganic/w12/fill_21.png,,fill
IN_W12_FILL_22,inorganic,12,images/inorganic/w12/fill_22.png,,fill
IN_W12_FILL_23,inorganic,12,images/inorganic/w12/fill_23.png,,fill
IN_W12_FILL_24,inorganic,12,images/inorganic/w12/fill_24.png,,fill
IN_W12_FILL_25,inorganic,12,images/inorganic/w12/fill_25.png,,fill
IN_W12_FILL_26,inorganic,12,images/inorganic/w12/fill_26.png,,fill
IN_W12_FILL_27,inorganic,12,images/inorganic/w12/fill_27.png,,fill
IN_W12_FILL_28,inorganic,12,images/inorganic/w12/fill_28.png,,fill
IN_W12_FILL_29,inorganic,12,images/inorganic/w12/fill_29.png,,fill
IN_W12_FILL_30,inorganic,12,images/inorganic/w12/fill_30.png,,fill
IN_W12_IUPAC_01,inorganic,12,images/inorganic/w12/iupac_01.png,,iupac
IN_W12_IUPAC_02,inorganic,12,images/inorganic/w12/iupac_02.png,,iupac
IN_W12_IUPAC_03,inorganic,12,images/inorganic/w12/iupac_03.png,,iupac
IN_W12_IUPAC_04,inorganic,12,images/inorganic/w12/iupac_04.png,,iupac
IN_W12_IUPAC_05,inorganic,12,images/inorganic/w12/iupac_05.png,,iupac
IN_W12_IUPAC_06,inorganic,12,images/inorganic/w12/iupac_06.png,,iupac
IN_W12_IUPAC_07,inorganic,12,images/inorganic/w12/iupac_07.png,,iupac
IN_W12_IUPAC_08,inorganic,12,images/inorganic/w12/iupac_08.png,,iupac
IN_W12_IUPAC_09,inorganic,12,images/inorganic/w12/iupac_09.png,,iupac
IN_W12_IUPAC_10,inorganic,12,images/inorganic/w12/iupac_10.png,,iupac
IN_W12_IUPAC_11,inorganic,12,images/inorganic/w12/iupac_11.png,,iupac
IN_W12_IUPAC_12,inorganic,12,images/inorganic/w12/iupac_12.png,,iupac
IN_W12_IUPAC_13,inorganic,12,images/inorganic/w12/iupac_13.png,,iupac
IN_W12_IUPAC_14,inorganic,12,images/inorganic/w12/iupac_14.png,,iupac
IN_W12_IUPAC_15,inorganic,12,images/inorganic/w12/iupac_15.png,,iupac
IN_W12_IUPAC_16,inorganic,12,images/inorganic/w12/iupac_16.png,,iupac
IN_W12_IUPAC_17,inorganic,12,images/inorganic/w12/iupac_17.png,,iupac
IN_W12_IUPAC_18,inorganic,12,images/inorganic/w12/iupac_18.png,,iupac
IN_W12_IUPAC_19,inorganic,12,images/inorganic/w12/iupac_19.png,,iupac
IN_W12_IUPAC_20,inorganic,12,images/inorganic/w12/iupac_20.png,,iupac
